ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n3q5,BG_n2q5,2.3259999999999996,4,3
n3q5,INST_n2q5_1a,0.366,1,0
n3q5,INST_n2q5_1c,3.477999999999999,3,2
n3q5,INST_n2q5_1b,4.816,5,4
n4q1,KW_n2q1_4,1.4669999999999996,2,1
n4q1,INST_n2q1_1,0.0,0,0
n4q1,KW_n2q1_1,4.648,2,1
n4q1,BG_n2q1,1.589,5,4
n4q1,KW_n2q1_2,0.734,1,0
n4q1,KW_n2q1_3,1.2239999999999998,1,0
n4q2,KW_n2q2_3,2.3219999999999987,1,0
n4q2,KW_n2q2_2,1.1,2,1
n4q2,INST_n2q2_1,0.978,2,1
n4q2,BG_n2q2,0.612,3,2
n4q2,KW_n2q2_4,2.4450000000000003,2,1
n4q2,KW_n2q2_1,2.5679999999999996,1,0
n4q3,KW_n2q3_1,2.688999999999999,2,1
n4q3,INST_n2q3_2,3.177999999999999,2,1
n4q3,INST_n2q3_1,2.5679999999999996,1,0
n4q3,BG_n2q3,0.612,3,2
n4q3,KW_n2q3_2,1.223,2,1
n4q3,KW_n2q3_3,3.4219999999999997,4,3
n4q4,INST_n2q4_2b,3.667999999999999,4,3
n4q4,KW_n2q4_1,26.401999999999997,7,6
n4q4,INST_n2q4_1,1.3450000000000002,4,3
n4q4,BG_n2q4,1.099,5,4
n4q4,INST_n2q4_2a,4.767999999999999,2,1
n4q5,BG_n2q5,1.4659999999999997,6,5
n4q5,INST_n2q5_1a,1.5899999999999999,2,1
n4q5,INST_n2q5_1c,2.810999999999999,2,1
n4q5,INST_n2q5_1b,1.5899999999999996,2,1
n5q1,KW_n2q1_4,2.6899999999999995,2,1
n5q1,INST_n2q1_1,1.101,1,0
n5q1,KW_n2q1_1,4.523999999999999,1,0
n5q1,BG_n2q1,0.122,1,0
n5q1,KW_n2q1_2,1.3459999999999999,1,0
n5q1,KW_n2q1_3,2.0789999999999997,1,0
n5q2,KW_n2q2_3,4.399999999999999,2,1
n5q2,KW_n2q2_2,1.834,2,1
n5q2,INST_n2q2_1,1.468,2,1
n5q2,BG_n2q2,0.488,3,2
n5q2,KW_n2q2_4,3.5459999999999994,1,0
n5q2,KW_n2q2_1,3.177999999999999,1,0
n5q3,KW_n2q3_1,1.956,3,2
n5q3,INST_n2q3_2,3.911999999999999,2,1
n5q3,INST_n2q3_1,2.5669999999999993,2,1
n5q3,BG_n2q3,1.222,5,4
n5q3,KW_n2q3_2,1.1,2,1
n5q3,KW_n2q3_3,2.3229999999999995,3,2
n5q4,INST_n2q4_2b,2.688999999999999,1,0
n5q4,KW_n2q4_1,13.32299999999999,4,3
n5q4,INST_n2q4_1,0.489,2,1
n5q4,BG_n2q4,0.612,2,1
n5q4,INST_n2q4_2a,3.422999999999999,1,0
n5q5,BG_n2q5,3.302999999999999,5,4
n5q5,INST_n2q5_1a,0.733,2,1
n5q5,INST_n2q5_1c,2.688999999999999,2,1
n5q5,INST_n2q5_1b,2.076999999999999,4,3
