ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
ad12q3,KW_n2q3_1,2.6899999999999995,7,6,ad
ad12q3,INST_n2q3_2,2.443,3,2,ad
ad12q3,INST_n2q3_1,3.055999999999999,2,1,ad
ad12q3,BG_n2q3,4.033999999999998,11,10,ad
ad12q3,KW_n2q3_2,3.301000000000002,8,7,ad
ad12q3,KW_n2q3_3,3.4229999999999983,5,4,ad
ad12q4,INST_n2q4_2b,5.623999999999999,10,9,ad
ad12q4,KW_n2q4_1,5.743999999999998,6,5,ad
ad12q4,INST_n2q4_1,4.646000000000001,7,6,ad
ad12q4,BG_n2q4,9.900999999999996,23,22,ad
ad12q4,INST_n2q4_2a,6.720999999999995,13,12,ad
ad12q5,BG_n2q5,8.311999999999998,16,15,ad
ad12q5,INST_n2q5_1a,5.5,6,5,ad
ad12q5,INST_n2q5_1c,1.4659999999999995,5,4,ad
ad12q5,INST_n2q5_1b,7.090999999999998,9,8,ad
ad13q1,KW_n2q1_4,2.687999999999999,5,4,ad
ad13q1,INST_n2q1_1,3.790999999999999,7,6,ad
ad13q1,KW_n2q1_1,8.434999999999999,10,9,ad
ad13q1,BG_n2q1,5.747999999999999,20,19,ad
ad13q1,KW_n2q1_2,5.9899999999999975,8,7,ad
ad13q1,KW_n2q1_3,4.7680000000000025,4,3,ad
ad13q2,KW_n2q2_3,6.115000000000002,18,17,ad
ad13q2,KW_n2q2_2,15.644999999999984,20,19,ad
ad13q2,INST_n2q2_1,4.768999999999998,5,4,ad
ad13q2,BG_n2q2,11.85699999999999,39,38,ad
ad13q2,KW_n2q2_4,3.177,7,6,ad
ad13q2,KW_n2q2_1,8.187,18,17,ad
ad13q3,KW_n2q3_1,3.3029999999999973,9,8,ad
ad13q3,INST_n2q3_2,2.077999999999999,2,1,ad
ad13q3,INST_n2q3_1,1.71,3,2,ad
ad13q3,BG_n2q3,4.891000000000001,13,12,ad
ad13q3,KW_n2q3_2,3.663999999999999,9,8,ad
ad13q3,KW_n2q3_3,3.423000000000001,5,4,ad
